state,City,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Station Name,Operator,Usage Type,Connector Type,Power (kW),station_id,location,charging_type,num_chargers,voltage_level,current_flow,power_consumed,power_loss,voltage_fluctuation
Dadra and Nagar Haveli and Daman and Diu,Daman,17110,47421,12945,6001,7350,6129,33265,20286,FastCharge,EVRE,Public,Type 2,137,1,Rural,Ultra Fast,46,440.13,244.72,107.71,10.47,2.28
Chhattisgarh,Bhilai,23061,25198,10893,33940,633,7394,19824,41385,Green Charge,ChargeZone,Public,CCS,104,2,Highway,Slow,16,767.28,42.89,32.91,2.65,8.23
Haryana,Gurgaon,43369,17380,14479,21884,3957,21540,27705,6706,Charge Point,Tata Power,Private,CHAdeMO,207,3,Rural,Slow,46,594.42,466.06,277.04,12.76,2.31
Rajasthan,Jaipur,43509,38373,16327,8519,25638,40594,24737,13692,Power Station,Fortum,Public,CCS,57,4,Rural,Slow,9,236.13,311.65,73.59,4.98,2.08
Rajasthan,Udaipur,3019,338,46312,17748,24695,23175,25536,13340,EV Hub,IOCL,Private,GB/T,96,5,Rural,Ultra Fast,49,537.57,488.87,262.8,14.48,13.59
Himachal Pradesh,Shimla,37875,29554,25017,30727,32927,16793,1365,40841,Charge Point,ChargeZone,Public,CCS,189,6,Rural,Slow,7,409.09,310.99,127.22,4.28,3.72
Ladakh,Leh,49721,30639,2508,47867,17245,44825,2195,30410,Green Charge,IOCL,Commercial,Type 2,106,7,Highway,Ultra Fast,24,738.95,127.27,94.05,4.45,14.99
Rajasthan,Jaipur,18263,25923,16220,1160,40919,15108,8967,26353,EV Hub,BPCL,Public,CCS,337,8,Highway,Slow,38,321.4,316.71,101.79,2.07,14.24
Kerala,Trivandrum,14096,9459,19135,25675,31908,33351,43217,28597,EV Hub,ChargeZone,Private,CHAdeMO,155,9,Semi-Urban,Ultra Fast,8,702.61,263.44,185.1,8.41,3.29
Madhya Pradesh,Bhopal,9882,25641,35738,46287,18909,40208,3453,10445,Power Station,EVRE,Public,Type 2,173,10,Urban,Fast,25,410.8,288.75,118.62,7.92,0.63
West Bengal,Kolkata,8689,18914,27396,5862,33298,14366,36333,10597,EV Hub,ChargeZone,Private,CHAdeMO,321,11,Urban,Fast,29,557.01,157.82,87.91,7.79,11.68
Tripura,Agartala,45272,1575,49923,14427,44886,42004,43365,37319,Green Charge,BPCL,Private,CHAdeMO,126,12,Rural,Slow,43,541.5,322.49,174.63,10.31,14.57
Andaman and Nicobar Islands,Port Blair,21943,41869,10121,11789,32520,34550,37223,33327,Green Charge,ChargeZone,Public,GB/T,65,13,Semi-Urban,Fast,20,423.94,97.94,41.52,3.98,0.73
Sikkim,Gangtok,12741,3641,2156,18329,26561,9904,1634,34003,Power Station,BPCL,Public,GB/T,132,14,Rural,Ultra Fast,45,744.44,264.38,196.82,7.34,12.97
Assam,Silchar,31580,11290,38532,10419,36379,33646,2397,15172,FastCharge,ChargeZone,Commercial,Type 2,290,15,Semi-Urban,Fast,30,537.5,275.37,148.01,3.43,5.39
Meghalaya,Shillong,17501,30160,14766,11725,25125,42796,3670,42152,FastCharge,Ather Energy,Public,CCS,124,16,Urban,Fast,20,522.97,245.07,128.16,11.66,0.26
Nagaland,Kohima,3606,9777,26998,15872,33024,17531,1056,32148,EV Hub,Fortum,Private,CHAdeMO,310,17,Rural,Slow,24,488.69,312.14,152.54,11.48,10.7
Jammu and Kashmir,Srinagar,27403,4823,15464,27643,5164,9189,7675,44986,Charge Point,Tata Power,Commercial,CHAdeMO,130,18,Rural,Slow,25,245.98,137.23,33.76,2.89,2.72
